Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Acidilobaceae	1	0	17	3	2	3	1	4	0	0	4	1	4	9	0	0	1	3	59	2	0	2	0
Caldisphaeraceae	1	0	0	0	10	1	0	1	2	1	1	0	1	0	0	1	5	0	2	1	0	1	3
Desulfurococcaceae	3	8	3	13	9	7	2	4	4	9	2	1	9	2	11	4	6	3	14	0	2	1	7
Pyrodictiaceae	2	0	11	2	16	12	7	13	11	6	24	8	12	2	0	4	1	3	0	4	3	7	3
Sulfolobaceae	3	4	13	4	9	21	13	25	5	11	7	16	32	4	3	4	9	10	9	3	12	17	64
Thermofilaceae	0	2	1	4	0	1	6	2	15	0	9	2	2	3	3	1	4	1	0	1	6	6	0
Thermoproteaceae	20	18	16	13	6	89	13	93	48	39	7	18	41	47	48	15	5	61	5	114	37	27	85
Archaeoglobaceae	42	13	173	79	31	54	39	52	86	167	66	46	271	75	70	32	46	96	223	46	44	79	94
Haloarculaceae	144	44	65	230	48	156	89	56	100	153	116	73	138	195	79	72	47	72	76	90	86	133	144
Halobacteriaceae	16	44	149	108	17	58	57	21	29	17	90	84	73	40	50	47	16	43	44	68	45	49	55
Haloferacaceae	67	14	102	670	33	31	149	128	96	126	108	96	119	66	54	13	15	29	38	54	22	158	56
Halorubraceae	23	29	113	34	20	120	14	105	11	40	67	40	41	14	15	17	21	73	19	19	19	36	46
Natrialbaceae	169	38	238	138	62	260	173	138	57	102	229	99	120	85	68	131	153	158	120	141	85	156	142
Methanobacteriaceae	178740	86542	194963	2930	61578	16774	244919	186501	59212	3805	7704	385208	58117	76289	80786	130983	108443	30154	64861	106342	300789	14870	77136
Methanothermaceae	0	0	0	0	0	0	0	2	0	1	0	3	1	0	3	0	0	0	1	1	0	1	0
Methanocaldococcaceae	3	3	5	10	5	3	3	4	8	3	6	5	8	1	6	9	15	3	2	1	25	6	5
Methanococcaceae	97	35	99	74	55	83	71	118	83	225	34	51	102	78	39	19	46	86	70	165	23	116	178
Methanocellaceae	42	53	155	48	62	16	103	26	7	17	245	72	80	12	28	71	122	33	15	87	35	107	94
Methanocorpusculaceae	23	6	50	7	36	5	18	22	10	36	11	7	29	17	30	21	2	15	10	38	45	7	10
Methanomicrobiaceae	40	18	210	66	100	97	58	60	57	75	117	126	85	80	32	28	38	37	40	73	26	156	71
Methanoregulaceae	18	20	45	59	33	69	33	35	17	39	51	14	29	40	69	21	20	16	18	19	44	21	15
Methanospirillaceae	2	1	39	2	12	20	9	79	17	4	12	21	4	13	12	1	5	15	6	7	6	5	4
Methanosaetaceae	11	41	72	10	17	35	57	39	21	27	43	51	43	15	39	37	7	40	32	24	43	35	51
Methanosarcinaceae	199	87	394	186	657	266	232	313	1511	372	326	267	410	345	190	140	200	195	254	222	164	331	300
Methanopyraceae	0	1	0	1	0	3	0	0	0	1	1	0	1	3	0	0	0	1	0	2	0	9	0
Thermococcaceae	1062	154	498	387	225	203	629	421	469	379	267	581	334	834	370	971	302	423	503	331	794	413	469
Methanomassiliicoccaceae	102372	30545	14986	23524	215436	94829	84425	58047	288242	9514	907	49833	41615	208107	30996	146395	35544	201314	198775	2621	1007	19412	1243
Cuniculiplasmataceae	4	0	16	0	6	8	11	3	9	9	5	7	8	15	26	7	6	12	11	9	4	3	6
Ferroplasmaceae	0	3	5	1	5	3	1	2	2	6	1	10	5	9	8	7	1	4	2	2	1	32	6
Picrophilaceae	0	0	2	0	3	9	1	1	3	9	4	2	13	3	0	1	0	8	2	2	0	9	2
Thermoplasmataceae	17	7	3	1	1	1	2	1	1	1	1	7	6	2	5	1	3	4	1	3	0	0	7
Candidatus Nitrosocaldaceae	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Nitrososphaeraceae	4	2	3	28	13	7	37	13	2	12	0	10	5	0	0	7	1	1	14	2	1	18	0
Nitrosopumilaceae	2	2	3	0	16	1	0	0	0	2	5	0	11	4	7	1	10	5	12	2	1	5	1
Vicinamibacteraceae	163	41	237	97	167	268	142	172	86	51	206	219	134	137	124	91	83	54	191	110	100	193	98
Acidobacteriaceae	1118	461	1692	1688	630	1709	766	1279	1100	1239	1478	969	1041	2073	1071	1542	1378	1126	1072	692	1626	1510	1391
Solibacteraceae	146	72	344	186	208	123	479	362	128	351	361	168	405	489	68	170	392	126	141	98	51	294	334
Acidimicrobiaceae	66	27	36	86	54	35	130	47	27	29	259	56	164	80	23	66	442	35	25	84	39	216	30
Acidothermaceae	19	6	42	17	15	2	57	8	59	45	92	17	56	41	6	4	24	21	53	29	12	19	11
Actinomycetaceae	8948	1900	23774	3595	5027	5931	7669	5345	11585	5100	5160	7325	5231	27209	2488	2987	6240	5305	4425	7829	5482	5274	6497
Actinopolysporaceae	46	2	43	22	15	34	9	58	43	27	44	41	37	15	30	32	72	30	28	22	41	65	23
Bifidobacteriaceae	4844	2495	15950	3826	7925	8678	7686	6817	6345	6823	20152	7491	10063	77258	14854	13987	7572	5116	13811	7151	23101	8205	7802
Candidatus Nanopelagicaceae	34	10	147	27	66	109	45	72	174	64	151	79	102	180	65	55	54	42	93	46	44	167	127
Catenulisporaceae	19	67	323	105	60	346	119	174	61	35	153	135	43	47	46	80	12	129	54	122	42	58	113
Corynebacteriaceae	4790	1880	10578	4835	3572	7992	5350	6360	4683	4141	7648	5211	4918	10037	3188	2433	4411	4949	4741	6249	3297	4866	4689
Dietziaceae	120	46	302	161	201	271	294	279	83	124	145	170	212	251	80	126	232	171	272	318	57	205	142
Gordoniaceae	262	87	486	283	220	461	296	339	172	328	592	248	483	263	204	160	625	217	371	330	250	374	308
Mycobacteriaceae	1498	699	2829	1707	797	2239	2347	1793	1338	1513	2668	2060	1724	2025	800	664	1254	1383	2518	1861	1099	1478	1742
Nocardiaceae	1505	516	2496	1470	829	1570	1409	1634	1145	1349	1754	1720	1899	1530	1370	768	1581	1320	1627	1643	834	1221	1615
Segniliparaceae	44	10	20	49	4	8	35	6	21	6	73	16	19	23	11	21	6	2	28	27	2	27	36
Tsukamurellaceae	80	34	137	68	45	75	96	49	108	59	320	29	89	90	498	98	196	36	50	61	87	151	190
