Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Thermoprotei	32	32	62	45	52	134	44	142	88	66	56	56	101	68	65	30	31	81	101	125	60	61	164
Archaeoglobi	42	13	173	79	31	54	39	52	86	167	66	46	271	75	70	32	46	96	223	46	44	79	94
Halobacteria	481	188	846	1356	209	650	497	469	354	459	647	445	524	471	278	304	257	404	350	486	272	609	496
Methanobacteria	178740	86542	194964	2930	61578	16774	244919	186503	59212	3806	7704	385211	58118	76289	80789	130983	108443	30154	64862	106343	300789	14871	77136
Methanococci	100	38	108	84	60	86	74	122	91	233	40	56	111	79	45	28	61	90	72	166	48	122	185
Methanomicrobia	363	227	988	383	924	513	515	578	1656	591	820	559	689	523	411	319	399	366	392	474	364	671	552
Methanopyri	0	1	0	1	0	3	0	0	0	1	1	0	1	3	0	0	0	1	0	2	0	9	0
Thermococci	1062	154	498	387	225	203	629	421	469	379	267	581	334	834	370	971	302	423	503	331	794	413	469
Thermoplasmata	103075	30784	17761	23849	217247	96537	85581	59532	290218	13577	1913	52426	44302	209845	32106	147100	36656	203403	200566	5173	1156	20989	2200
Nitrososphaeria	4	4	3	28	14	7	37	13	2	13	0	10	5	0	0	7	1	1	14	2	3	18	0
Acidobacteria subdivision 6	163	41	237	97	167	268	142	172	86	51	206	219	134	137	124	91	83	54	191	110	100	193	98
Acidobacteriia	1118	461	1692	1688	630	1709	766	1279	1100	1239	1478	969	1041	2073	1071	1542	1378	1126	1072	692	1626	1510	1391
Blastocatellia	34	34	114	139	46	75	47	65	41	50	147	67	84	74	53	17	41	50	83	125	26	139	136
Solibacteres	146	72	344	186	208	123	479	362	128	351	361	168	405	489	68	170	392	126	141	98	51	294	334
Acidimicrobiia	66	27	36	86	54	35	130	47	27	29	259	56	164	80	23	66	442	35	25	84	39	216	30
Actinobacteria	54606	21690	112837	45742	37796	71019	61829	57305	49699	45002	86355	64978	57154	157469	46472	49989	55214	48855	58394	59882	64528	55266	58660
Coriobacteriia	118122	24949	166600	22311	50755	34889	41794	24556	29294	47642	32460	184134	101217	78100	127661	97229	57909	40651	57729	25631	22399	162808	237130
Nitriliruptoria	43	39	262	63	194	192	114	142	66	28	328	150	192	144	55	145	322	81	352	192	56	170	97
Rubrobacteria	790	165	322	427	127	271	316	212	138	339	553	501	272	284	205	165	454	166	219	324	179	323	354
Thermoleophilia	102	55	250	92	80	267	177	154	79	40	500	164	187	113	74	90	368	71	95	252	50	196	165
Aquificae	609	40	174	209	217	148	259	297	285	158	111	254	224	721	235	352	168	416	185	113	414	153	157
Chthonomonadetes	70	7	157	104	112	132	45	81	146	60	147	162	79	106	125	85	59	43	285	82	19	41	85
